Date,Energy_kWh,Source_File,Data_Type
2024-08-05,27.66001,MTU-LEO-PS31_23012024-23012025.csv,5min_aggregated
2024-08-06,51.19382,MTU-LEO-PS31_01072024-31122024.csv,daily
2024-08-07,48.628910000000005,MTU-LEO-PS31_23012024-23012025.csv,5min_aggregated
2024-08-08,48.79853,MTU-LEO-PS31_01072024-31122024.csv,daily
2024-08-09,53.68399,MTU-LEO-PS31_01072024-31122024.csv,daily
2024-08-10,46.75715,MTU-LEO-PS31_23012024-23012025.csv,5min_aggregated
2024-08-11,54.82705,MTU-LEO-PS31_01072024-31122024.csv,daily
2024-08-12,49.64586,MTU-LEO-PS31_01072024-31122024.csv,daily
2024-08-13,38.557190000000006,MTU-LEO-PS31_23012024-23012025.csv,5min_aggregated
2024-08-14,42.23476,MTU-LEO-PS31_23012024-23012025.csv,5min_aggregated
2024-08-15,47.8643,MTU-LEO-PS31_23012024-23012025.csv,5min_aggregated
2024-08-16,41.43419,MTU-LEO-PS31_01072024-31122024.csv,daily
2024-08-17,49.86609,MTU-LEO-PS31_01072024-31122024.csv,daily
2024-08-18,33.73693,MTU-LEO-PS31_01072024-31122024.csv,daily
2024-08-19,28.91773,MTU-LEO-PS31_01072024-31122024.csv,daily
2024-08-20,36.75111,MTU-LEO-PS31_01072024-31122024.csv,daily
2024-08-21,20.240209999999998,MTU-LEO-PS31_23012024-23012025.csv,5min_aggregated
2024-08-22,47.18246,MTU-LEO-PS31_01072024-31122024.csv,daily
2024-08-23,49.9724,MTU-LEO-PS31_23012024-23012025.csv,5min_aggregated
2024-08-24,47.90882,MTU-LEO-PS31_23012024-23012025.csv,5min_aggregated
2024-08-25,42.40636,MTU-LEO-PS31_23012024-23012025.csv,5min_aggregated
2024-08-26,41.06916,MTU-LEO-PS31_01072024-31122024.csv,daily
2024-08-27,46.33389,MTU-LEO-PS31_01072024-31122024.csv,daily
2024-08-28,44.69371,MTU-LEO-PS31_01072024-31122024.csv,daily
2024-08-29,43.16507,MTU-LEO-PS31_01072024-31122024.csv,daily
2024-08-30,50.29519,MTU-LEO-PS31_01072024-31122024.csv,daily
2024-08-31,49.00235,MTU-LEO-PS31_01072024-31122024.csv,daily
2024-09-01,43.10791,MTU-LEO-PS31_23012024-23012025.csv,5min_aggregated
2024-09-02,42.81202,MTU-LEO-PS31_23012024-23012025.csv,5min_aggregated
2024-09-03,43.798919999999995,MTU-LEO-PS31_23012024-23012025.csv,5min_aggregated
2024-09-04,45.5286,MTU-LEO-PS31_23012024-23012025.csv,5min_aggregated
2024-09-05,32.40014,MTU-LEO-PS31_01072024-31122024.csv,daily
2024-09-06,17.69444,MTU-LEO-PS31_01072024-31122024.csv,daily
2024-09-07,34.32847,MTU-LEO-PS31_01072024-31122024.csv,daily
2024-09-08,38.05573,MTU-LEO-PS31_01072024-31122024.csv,daily
2024-09-09,8.07201,MTU-LEO-PS31_01072024-31122024.csv,daily
2024-09-10,27.80172,MTU-LEO-PS31_01072024-31122024.csv,daily
2024-09-11,46.55591,MTU-LEO-PS31_01072024-31122024.csv,daily
2024-09-12,5.28480,MTU-LEO-PS31_01072024-31122024.csv,daily
2024-09-13,10.23473,MTU-LEO-PS31_01072024-31122024.csv,daily
2024-09-14,8.52939,MTU-LEO-PS31_23012024-23012025.csv,5min_aggregated
2024-09-15,17.85192,MTU-LEO-PS31_01072024-31122024.csv,daily
2024-09-16,9.30081,MTU-LEO-PS31_23012024-23012025.csv,5min_aggregated
2024-09-17,35.803470000000004,MTU-LEO-PS31_23012024-23012025.csv,5min_aggregated
2024-09-18,15.48662,MTU-LEO-PS31_23012024-23012025.csv,5min_aggregated
2024-09-19,24.25515,MTU-LEO-PS31_23012024-23012025.csv,5min_aggregated
2024-09-20,34.47137,MTU-LEO-PS31_23012024-23012025.csv,5min_aggregated
2024-09-21,29.27195,MTU-LEO-PS31_23012024-23012025.csv,5min_aggregated
2024-09-22,41.785489999999996,MTU-LEO-PS31_23012024-23012025.csv,5min_aggregated
2024-09-23,41.454879999999996,MTU-LEO-PS31_23012024-23012025.csv,5min_aggregated
2024-09-24,11.00973,MTU-LEO-PS31_01072024-31122024.csv,daily
2024-09-25,31.48827,MTU-LEO-PS31_23012024-23012025.csv,5min_aggregated
2024-09-26,28.30309,MTU-LEO-PS31_23012024-23012025.csv,5min_aggregated
2024-09-27,7.62555,MTU-LEO-PS31_01072024-31122024.csv,daily
2024-09-28,14.36467,MTU-LEO-PS31_23012024-23012025.csv,5min_aggregated
2024-09-29,38.28537,MTU-LEO-PS31_23012024-23012025.csv,5min_aggregated
2024-09-30,36.90272,MTU-LEO-PS31_01072024-31122024.csv,daily
2024-10-01,28.80264,MTU-LEO-PS31_23012024-23012025.csv,5min_aggregated
2024-10-02,4.57769,MTU-LEO-PS31_01072024-31122024.csv,daily
2024-10-03,9.87360,MTU-LEO-PS31_01072024-31122024.csv,daily
2024-10-04,15.50113,MTU-LEO-PS31_23012024-23012025.csv,5min_aggregated
2024-10-05,25.19434,MTU-LEO-PS31_23012024-23012025.csv,5min_aggregated
2024-10-06,38.92470,MTU-LEO-PS31_01072024-31122024.csv,daily
2024-10-07,37.19216,MTU-LEO-PS31_23012024-23012025.csv,5min_aggregated
2024-10-08,32.28817,MTU-LEO-PS31_23012024-23012025.csv,5min_aggregated
2024-10-09,31.81928,MTU-LEO-PS31_23012024-23012025.csv,5min_aggregated
2024-10-10,9.16238,MTU-LEO-PS31_01072024-31122024.csv,daily
2024-10-11,23.62298,MTU-LEO-PS31_23012024-23012025.csv,5min_aggregated
2024-10-12,23.98443,MTU-LEO-PS31_23012024-23012025.csv,5min_aggregated
2024-10-13,21.33795,MTU-LEO-PS31_23012024-23012025.csv,5min_aggregated
2024-10-14,24.5744,MTU-LEO-PS31_23012024-23012025.csv,5min_aggregated
2024-10-15,25.83042,MTU-LEO-PS31_23012024-23012025.csv,5min_aggregated
2024-10-16,9.98452,MTU-LEO-PS31_01072024-31122024.csv,daily
2024-10-17,10.95783,MTU-LEO-PS31_01072024-31122024.csv,daily
2024-10-18,14.49635,MTU-LEO-PS31_23012024-23012025.csv,5min_aggregated
2024-10-19,8.92429,MTU-LEO-PS31_01072024-31122024.csv,daily
